removed_interest,aud_low_est,aud_high_est,date_aud_test,seen_in_CB,unique_user,unique_advertiser
Christian prayer,,,,yes,4,9
Christian Quotes,,,,yes,1,1
Christian revival,,,,yes,2,2
Christian rock,,,,yes,21,17
Christian school,,,,yes,5,7
Christian theology,2600000,3100000,2022-01-07,yes,16,26
Christian Today,,,,yes,7,17
Christian Zionism,,,,yes,8,6
Christianbook.com,,,,yes,9,18
ChristianCinema.com,,,,yes,1,1
Christianity Today,,,,yes,17,42
Christianity.com,,,,yes,1,1
Christians United for Israel,850800,1000000,2022-01-07,yes,11,27
Christmas and holiday season,,,,yes,100,153
Christmas card,,,,yes,9,14
Christmas carol,,,,yes,6,7
Christmas decoration,,,,yes,19,43
Christmas Eve,,,,yes,18,30
Christmas Gift,3268529,3845328,2021-10-29,no,,
Christmas lights,,,,yes,14,30
Christmas music,,,,yes,13,29
Christmas ornament,,,,yes,19,38
Christmas stocking,,,,yes,5,4
Christmas traditions,,,,yes,5,13
Christmas tree,,,,yes,34,62
Christology,,,,yes,2,2
Christopher Hitchens,,,,yes,1,1
CHRISTUS Good Shepherd Health System,4344,5110,2021-10-29,no,,
CHRISTUS Health,9486,11160,2021-10-29,no,,
Chronic obstructive pulmonary disease awareness,9200000,10800000,2021-12-23,yes,42,36
Chuck Schumer,,,,yes,6,3
Chuck Swindoll,518310,609776,2021-10-29,yes,5,15
Church (building),,,,yes,31,32
Church Administrator,2780,3270,2021-10-29,no,,
Church Fathers,,,,yes,1,1
Church Leaders,,,,yes,4,4
Church music,,,,yes,1,1
Church of Christ,,,,yes,2,2
Church of God in Christ,,,,yes,7,8
Church of the Nazarene,,,,yes,2,3
Church service,,,,yes,20,20
Churches of Christ,,,,yes,1,1
Circulatory system,126286400,148572235,2021-10-29,yes,37,30
Citizens Committee for the Right to Keep and Bear Arms,,,,yes,3,4
Citizens Committee for the Right to Keep and Bear Arms (CCRKBA),,,,yes,1,1
Citizenship in the United States,,,,yes,1,1
City of Hope National Medical Center,,,,yes,3,2
Civil and political rights,,,,yes,24,15
Clairvoyance,12766780,15019741,2021-10-29,yes,4,9
Classical liberalism,,,,yes,4,3
Climate Action Network,,,,yes,1,1
Climate change,,,,yes,126,100
Climate change mitigation,,,,yes,17,15
Climate justice,,,,yes,1,1
CNBC,23902150,28120176,2021-10-29,yes,59,30
CNN,126302890,148591635,2021-10-29,yes,341,209
CNN en Español,,,,yes,16,18
CNN Indonesia,8843790,10404458,2021-10-29,no,,
CNN International,15704700,18476117,2021-10-29,yes,10,8
CNNMoney,302119,355434,2021-10-29,no,,
Cognition,,,,yes,53,37
Cognitive behavioral therapy,1300000,1500000,2021-12-23,yes,8,10
Cognitive neuroscience,,,,yes,3,3
Cognitive psychology,,,,yes,4,6
College Republicans,,,,yes,6,3
Color of Change,,,,yes,11,8
Common cold,,,,yes,15,15
Communication disorder,,,,yes,1,1
Community mental health service,,,,yes,2,5
Community organizing,,,,yes,7,6
Community service,870510,1023720,2022-02-08,yes,3,3
Compassion,21426000,25207058,2021-10-29,yes,10,6
Complication (medicine),,,,yes,1,1
Compression stockings,3297678,3878070,2022-02-08,yes,13,17
Concealed carry,,,,yes,22,52
Concealed carry in the United States,3000000,3500000,2022-01-07,yes,23,40
Concerned Veterans for America,,,,yes,1,1
Confession (religion),,,,yes,1,1
Congregational church,,,,yes,1,1
Congressional Black Caucus,,,,yes,2,1
Conservation movement,,,,yes,25,17
Conservatism in the United States,15100000,17800000,2022-01-07,yes,50,18
Conservative Judaism,,,,yes,5,8
Conservative News Today,,,,yes,3,3
Conservative Political Action Conference,,,,yes,8,5
Conservative talk radio,,,,yes,25,15
Contemporary Christian music,17100000,20100000,2022-01-07,yes,97,118
Continuous positive airway pressure,2700000,3200000,2021-12-23,yes,37,49
COPD Awareness Month,261300,307400,2021-12-23,yes,1,6
Cornel West,,,,yes,4,3
Cory Booker,3607760,4244423,2021-10-29,yes,31,20
Cough,,,,yes,27,16
Counseling psychology,,,,yes,8,8
Counter-terrorism awareness,10339330,12163917,2021-10-29,no,,
Counterculture of the 1960s,,,,yes,4,4
CreakyJoints,,,,yes,2,3
Creationism,,,,yes,3,4
Criminal justice reform,,,,yes,8,4
Crohn's & Colitis Foundation,,,,yes,6,11
Cross,,,,yes,1,6
Cru (Christian organization),,,,yes,3,3
Crucifixion of Jesus,,,,yes,3,3
Cryotherapy,,,,yes,1,1
Cthulhu,3816488,4488190,2022-02-08,yes,8,12
Cupping therapy,,,,yes,1,1
CURE Childhood Cancer,,,,yes,1,1
Cyclic ketogenic diet,,,,yes,7,26
Daily Devotionals,,,,yes,3,12
Daily Express,31750210,37353188,2021-10-29,no,,
Daily Mirror,54492700,64109058,2021-10-29,no,,
Dalai Lama,9313570,10957141,2021-10-29,yes,13,11
Dale Carnegie,1625810,1912717,2021-10-29,no,,
Dana Loesch,,,,yes,7,4
Dark Souls,2850270,3353258,2021-10-29,yes,2,7
DaVita,,,,yes,3,4
DaVita Kidney Care,,,,yes,2,6
Daystar (TV network),5300000,6300000,2022-01-07,yes,2,16
Deacon,11954,14063,2021-10-29,no,,
Deaf culture,262700,309000,2021-12-23,yes,2,1
Delayed sleep phase disorder,667900,785800,2021-12-23,yes,1,2
Delta Sigma Theta,1600000,1800000,2022-01-07,yes,5,13
Democracy Now!,1545250,1817941,2021-10-29,yes,18,13
Democratic Governors Association,,,,yes,2,1
Democratic National Committee,,,,yes,8,3
Democratic Party (United States),39500000,46500000,2022-01-07,yes,158,82
Dennis Prager,1464360,1722776,2021-10-29,yes,17,16
Dental plaque,2000000,2300000,2021-12-23,yes,4,3
Depression and Bipolar Support Alliance,10700000,12600000,2021-12-23,yes,5,8
Dermatology,94456250,111125000,2021-10-29,yes,85,105
Developmental disability awareness,4900000,5700000,2021-12-23,yes,8,10
Devil,38411560,45190070,2021-10-29,yes,1,1
Diabetes Daily,,,,yes,8,15
Diabetes Hands Foundation,,,,yes,2,3
Diabetes mellitus awareness,19300000,22700000,2021-12-23,yes,244,202
Diabetes mellitus type 2 awareness,12400000,14600000,2021-12-23,yes,89,187
Diabetes Research Institute,,,,yes,2,4
Diabetic diet,,,,yes,44,59
Dialysis Patient Citizens,,,,yes,1,7
Dianne Feinstein,,,,yes,1,1
Diet food,55530371,65303717,2022-02-08,yes,81,161
Digestion,93475518,109927210,2022-02-08,yes,90,86
Digestive enzyme,,,,yes,3,4
Disability rights movement,10700000,12600000,2021-12-23,yes,9,14
Disciple (Christianity),,,,yes,10,11
Divination,,,,yes,4,4
"Divinatory, esoteric and occult tarot",7511293,8836815,2021-10-29,yes,1,1
Divine Mercy,,,,yes,2,3
Divine Mercy image,,,,yes,1,1
Divinity,,,,yes,2,2
Diwali,,,,yes,2,2
